,Customer,State,CustomerLifetimeValue,Response,Coverage,Education,EffectiveToDate,EmploymentStatus,Gender,Income,LocationCode,MaritalStatus,MonthlyPremiumAuto,MonthsSinceLastClaim,MonthsSincePolicyInception,NumberofOpenComplaints,NumberofPolicies,PolicyType,Policy,RenewOfferType,SalesChannel,ClaimAmount,VehicleClass,VehicleSize
0,HS97983,California,30647.63125,No,Premium,High School or Below,2/20/2011,Unemployed,F,0.0,Suburban,Single,105.0,8.0,29.0,0.0,2.0,Personal Auto,Personal L2,Offer1,Agent,1212.054819,Four-Door Car,Small
1,QF76244,Oregon,2915.649943,No,Basic,Doctor,1/2/2011,Employed,F,83218.0,Urban,Married,72.0,6.0,42.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Agent,245.103885,Four-Door Car,Medsize
2,MM90239,Oregon,6369.262355,Yes,Extended,High School or Below,1/20/2011,Employed,M,34498.0,Suburban,Single,83.0,30.0,72.0,0.0,7.0,Personal Auto,Personal L1,Offer2,Branch,398.4,Two-Door Car,Small
3,LA20890,Oregon,2846.645431,No,Basic,Bachelor,1/28/2011,Employed,F,66880.0,Suburban,Married,71.0,7.0,54.0,0.0,1.0,Personal Auto,Personal L3,Offer4,Branch,340.8,Four-Door Car,Medsize
4,IZ27630,Oregon,6748.231188,No,Extended,Master,1/11/2011,Employed,M,68423.0,Urban,Single,85.0,14.0,81.0,0.0,7.0,Personal Auto,Personal L2,Offer2,Branch,324.413656,Two-Door Car,Large
5,PW69692,Oregon,3861.486269,Yes,Extended,College,1/6/2011,Employed,F,93272.0,Urban,Married,95.0,3.0,54.0,0.0,1.0,Personal Auto,Personal L2,Offer2,Branch,281.110788,Four-Door Car,Medsize
6,ZS22428,California,4916.577034,No,Basic,Bachelor,2/14/2011,Employed,F,21907.0,Rural,Married,62.0,6.0,47.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Agent,2.96438,Four-Door Car,Medsize
7,CT50487,California,2851.161121,No,Basic,High School or Below,2/10/2011,Employed,F,55274.0,Suburban,Married,71.0,14.0,35.0,0.0,1.0,Corporate Auto,Corporate L3,Offer2,Call Center,484.728153,Two-Door Car,Medsize
8,BH35016,Nevada,16706.11699,No,Basic,Bachelor,2/9/2011,Employed,F,63933.0,Suburban,Divorced,70.0,35.0,98.0,0.0,2.0,Personal Auto,Personal L3,Offer1,Call Center,424.883448,Two-Door Car,Medsize
9,BT76268,California,5878.199296,No,Basic,College,1/15/2011,Employed,F,22061.0,Suburban,Married,74.0,25.0,25.0,0.0,8.0,Personal Auto,Personal L2,Offer2,Branch,355.2,Four-Door Car,Medsize
10,UI62725,Oregon,5520.476175,No,Basic,Bachelor,1/2/2011,Employed,M,94676.0,Suburban,Divorced,69.0,27.0,14.0,0.0,3.0,Corporate Auto,Corporate L3,Offer2,Agent,331.2,Four-Door Car,Medsize
11,CP32818,Oregon,4529.965388,No,Basic,Bachelor,2/21/2011,Employed,M,64270.0,Rural,Single,117.0,12.0,58.0,0.0,1.0,Personal Auto,Personal L3,Offer2,Agent,46.104534,Sports Car,Small
12,AO98601,Washington,5018.885233,No,Basic,Bachelor,1/18/2011,Employed,M,54500.0,Suburban,Married,63.0,28.0,17.0,0.0,6.0,Corporate Auto,Corporate L2,Offer1,Agent,302.4,Two-Door Car,Small
13,VL32622,California,2664.242814,No,Basic,High School or Below,1/7/2011,Employed,F,82887.0,Suburban,Married,66.0,22.0,4.0,1.0,1.0,Corporate Auto,Corporate L3,Offer3,Agent,420.374805,Four-Door Car,Small
14,VD51297,California,7320.98824,No,Basic,College,1/9/2011,Employed,M,99722.0,Suburban,Single,61.0,6.0,48.0,0.0,2.0,Personal Auto,Personal L3,Offer4,Call Center,292.8,Four-Door Car,Small
15,LV51815,California,2990.330995,No,Basic,High School or Below,2/11/2011,Employed,F,73137.0,Urban,Married,74.0,14.0,45.0,1.0,1.0,Corporate Auto,Corporate L3,Offer1,Branch,227.797105,Four-Door Car,Medsize
16,BV12771,California,27420.81318,No,Basic,College,2/27/2011,Unemployed,M,0.0,Suburban,Married,112.0,23.0,20.0,0.0,2.0,Personal Auto,Personal L2,Offer3,Branch,537.6,SUV,Medsize
17,SE28250,Arizona,4838.981869,No,Basic,Bachelor,1/17/2011,Unemployed,M,0.0,Suburban,Divorced,70.0,11.0,36.0,2.0,7.0,Special Auto,Special L2,Offer2,Agent,336.0,Four-Door Car,Large
18,MW83318,Oregon,8826.611996,No,Basic,College,2/24/2011,Employed,F,26320.0,Suburban,Married,111.0,3.0,92.0,0.0,9.0,Corporate Auto,Corporate L2,Offer1,Web,603.819794,SUV,Large
19,RE73564,Oregon,11533.47722,No,Extended,Bachelor,2/14/2011,Employed,F,41098.0,Urban,Married,96.0,3.0,15.0,0.0,2.0,Personal Auto,Personal L1,Offer1,Branch,250.058657,Two-Door Car,Medsize
20,FD72269,California,5584.961718,No,Basic,High School or Below,2/3/2011,Disabled,F,19724.0,Suburban,Married,72.0,20.0,49.0,0.0,4.0,Personal Auto,Personal L1,Offer1,Agent,345.6,Four-Door Car,Large
21,FG71665,Arizona,2810.464447,Yes,Basic,Bachelor,2/27/2011,Employed,M,26790.0,Suburban,Married,71.0,4.0,41.0,0.0,1.0,Personal Auto,Personal L1,Offer2,Agent,340.8,Two-Door Car,Medsize
22,OZ64384,Oregon,8609.158215,Yes,Basic,Bachelor,1/14/2011,Employed,F,79090.0,Urban,Married,107.0,2.0,74.0,0.0,3.0,Personal Auto,Personal L3,Offer2,Branch,289.040734,SUV,Medsize
23,QC55306,Washington,31162.6933,No,Extended,High School or Below,1/15/2011,Employed,M,83170.0,Urban,Married,97.0,0.0,53.0,0.0,2.0,Personal Auto,Personal L2,Offer2,Agent,344.118069,Four-Door Car,Medsize
